Titulo,Autor,Duracion
A Half-Built Garden,Ruthanna Emrys,Length: 15 hrs and 50 mins
The Matter of Everything,Suzie Sheehy,Length: 9 hrs
Just One Kiss,Carly Phillips,Length: 5 hrs and 30 mins
All That Moves Us,Jay Wellons,Length: 7 hrs and 54 mins
Unbothered,Omarion,Length: 12 hrs
Wicked Liar,Faith Summers,Length: 11 hrs and 11 mins
Harrow,C. J. Milbrandt,Length: 11 hrs and 9 mins
Crooked Paradise: The Complete Series,Eva Chance,Length: 35 hrs and 2 mins
Wastelands,Corban Addison,Length: 10 hrs
The Science of Murder,Carla Valentine,Length: 10 hrs and 25 mins
The Lost Metal,Brandon Sanderson,Length: 20 hrs
"Cast On, Kill Off",Maggie Sefton,Length: 8 hrs and 50 mins
How to Steal a Scoundrel's Heart,Vivienne Lorret,Length: 11 hrs and 14 mins
Shanna,Kathleen E. Woodiwiss,Length: 26 hrs
The Perfect Crimes of Marian Hayes,Cat Sebastian,Length: 9 hrs and 14 mins
Sugar and Salt,Susan Wiggs,Length: 11 hrs and 30 mins
The Truth About Ben and June,Alex Kiester,Length: 8 hrs and 30 mins
The Magic of Lemon Drop Pie,Rachel Linden,Length: 9 hrs
How to Fake It in Hollywood,Ava Wilder,Length: 10 hrs and 36 mins
Love Radio,Ebony LaDelle,Length: 8 hrs and 50 mins
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Length: 11 hrs
Switchboard Soldiers,Jennifer Chiaverini,Length: 16 hrs and 15 mins
Desperately Seeking a Duchess,Christi Caldwell,Length: 10 hrs and 13 mins
The Truth of Her Heart,Rebecca Ruger,Length: 11 hrs and 30 mins
Tempted,A.K. Evans,Length: 7 hrs and 9 mins
Boys Will Be Human,Justin Baldoni,Length: 10 hrs
Owned by the Mountain Man,Gemma Weir,Length: 8 hrs and 4 mins
Blood Trails,Diane Capri,Length: 8 hrs and 12 mins
The Marriage Portrait,Maggie O'Farrell,Length: 13 hrs
Riverbend Reunion,Carolyn Brown,Length: 8 hrs and 27 mins
"Understanding Stocks, Third Edition",Michael Sincere,Length: 8 hrs
A Calculated Whisk,Victoria Hamilton,Length: 8 hrs and 30 mins
Luda,Grant Morrison,Length: 15 hrs
The Gatekeeper,James Byrne,Length: 10 hrs and 35 mins
The Tale of the Tenpenny Tontine,PJ Fitzsimmons,Length: 9 hrs
The Fae Keeper,H.E. Edgmon,Length: 13 hrs and 24 mins
We Are the Middle of Forever,Stan Rushworth,Length: 15 hrs
Still Alright,Kenny Loggins,Length: 9 hrs and 30 mins
Things I Wanted to Say,Monica Murphy,Length: 16 hrs
You're Invited,Amanda Jayatissa,Length: 11 hrs
Maggie Moves On,Lucy Score,Length: 11 hrs and 30 mins
Yerba Buena,Nina LaCour,Length: 8 hrs and 1 min
Be My Baby,Ronnie Spector,Length: 12 hrs and 30 mins
Strictly Confidential Attraction,Brenda Jackson,Length: 5 hrs
The First to Die at the End,Adam Silvera,Length: 10 hrs
The Nurse’s Secret,Amanda Skenandore,Length: 11 hrs
Rickey,Howard Bryant,Length: 18 hrs and 37 mins
Ash and Fire,Cassius Lange,Length: 15 hrs and 58 mins
Unf--k Your Body,Faith G. Harper,Length: 5 hrs and 15 mins
Dashing Through the Snowbirds,Donna Andrews,Length: 10 hrs
The Lion,Conn Iggulden,Length: 14 hrs and 8 mins
The Second Husband,Kate White,Length: 10 hrs
The Book Eaters,Sunyi Dean,Length: 13 hrs and 30 mins
Please Join Us,Catherine McKenzie,Length: 9 hrs
Just by Looking at Him,Ryan O'Connell,Length: 6 hrs and 34 mins
Nevada,Imogen Binnie,Length: 6 hrs and 40 mins
Thrill of the Hunt,Rita Mae Brown,Length: 10 hrs and 45 mins
Daughter of Darkness,Terry Brooks,Length: 15 hrs
The Icarus Plot,Timothy Zahn,Length: 15 hrs
Creative Strategy and the Business of Design,Douglas Davis,Length: 6 hrs and 47 mins
Confessions of a French Atheist,Guillaume Bignon,Length: 6 hrs and 6 mins
Dragon Eternal,Donna Grant,Length: 8 hrs
Marple: Twelve New Mysteries,Agatha Christie,Length: 12 hrs
A Lady's Guide to Fortune-Hunting,Sophie Irwin,Length: 12 hrs
Our Crooked Hearts,Melissa Albert,Length: 9 hrs and 51 mins
Spells for Forgetting,Adrienne Young,Length: 8 hrs and 30 mins
Undercover Assignment & Defending from Danger & Tracking a Killer,Dana Mentink,Length: 20 hrs
Sand and Steel,Luke Chmilenko,Length: 19 hrs and 22 mins
Vassals and Villains,Teresa Hann,Length: 8 hrs and 48 mins
Confidence,Denise Mina,Length: 10 hrs
Bleeding Heart Yard,Elly Griffiths,Length: 12 hrs
Facts & Fury,Bill Kuhn,Length: 11 hrs and 4 mins
The Far Traveler,Nancy Marie Brown,Length: 12 hrs
The Edge of Summer,Viola Shipman,Length: 10 hrs and 15 mins
The Last Mile,Kat Martin,Length: 13 hrs and 30 mins
Blood Orange Night,Melissa Bond,Length: 9 hrs
The Last Folk Hero,Jeff Pearlman,Length: 12 hrs
What's the Matter with Kansas?,Thomas Frank,Length: 10 hrs and 27 mins
The Very Secret Society of Irregular Witches,Sangu Mandanna,Length: 10 hrs
Together We Burn,Isabel Ibañez,Length: 13 hrs and 6 mins
Pines,Blake Crouch,Length: 9 hrs
Spirit Song,Sean Oswald,Length: 9 hrs and 14 mins
The Firebrand,Marion Zimmer Bradley,Length: 20 hrs
Flight Risk,Cherie Priest,Length: 10 hrs
The Devil Takes You Home,Gabino Iglesias,Length: 9 hrs and 30 mins
Secluded Cabin Sleeps Six,Lisa Unger,Length: 11 hrs
Never Too Late,Sally Rigby,Length: 8 hrs and 17 mins
Before You Knew My Name,Jacqueline Bublitz,Length: 10 hrs
She Works His Way,Michelle Myers,Length: 6 hrs and 30 mins
How to Be Eaten,Maria Adelmann,Length: 8 hrs and 39 mins
Mistakes Were Made,Meryl Wilsner,Length: 9 hrs and 15 mins
Maus Now,Hillary Chute - editor,Length: 15 hrs
This Place of Wonder,Barbara O'Neal,Length: 10 hrs
American Exception,Aaron Good,Length: 10 hrs
Becoming Molly-Mae,Molly-Mae Hague,Length: 5 hrs and 4 mins
Harmony of Fire,Brian Feehan,Length: 11 hrs and 45 mins
The Weight of Blood,Tiffany D. Jackson,Length: 10 hrs
The Secret Life of Albert Entwistle,Matt Cain,Length: 10 hrs and 49 mins
Dancer from the Dance,Andrew Holleran,Length: 9 hrs and 2 mins
Hyperspeed Dreams,Anna Carven,Length: 7 hrs and 55 mins
The Elephants of Thula Thula,Françoise Malby-Anthony,Length: 11 hrs
Enigma Variations,André Aciman,Length: 7 hrs and 39 mins
The Price We Pay,Auryn Hadley,Length: 16 hrs and 18 mins
No Plan B,Lee Child,Length: Not Yet Known
William at 40,Robert Jobson,Length: 12 hrs and 40 mins
Sira \ (Spanish edition),Maria Duenas,Length: 12 hrs
In the Lives of Puppets,TJ Klune,Length: 10 hrs
Deflecting the Duke,Alexa Aston,Length: 7 hrs and 49 mins
A Scoundrel of Her Own,Stacy Reid,Length: 11 hrs and 30 mins
The Divider,Peter Baker,Length: 26 hrs and 30 mins
The Furies,John Connolly,Length: 15 hrs
Global Reset,Mark Hitchcock,Length: 5 hrs and 4 mins
What Have We Done,Alex Finlay,Length: 11 hrs and 30 mins
Aura of Night,Heather Graham,Length: 12 hrs
Getting Started in Consulting,Alan Weiss,Length: 5 hrs and 27 mins
Evening Hero,Marie Myung-Ok Lee,Length: 13 hrs and 39 mins
Admiral Hyman Rickover,Marc Wortman,Length: 9 hrs
Also a Poet,Ada Calhoun,Length: Not Yet Known
Sky,Erin Hunter,Length: 10 hrs
The Swords of Haven,Simon R. Green,Length: 20 hrs
People Are the Mission,Danny Franks,Length: 6 hrs and 17 mins
Unti Bess Crawford #13,Charles Todd,Length: 12 hrs
Hole in the Woods,Jennifer Graeser Dornbush,Length: 12 hrs and 30 mins
Histories,John G. Hartness,Length: 4 hrs and 10 mins
Swagger,Jimmy Johnson,Length: 8 hrs and 30 mins
Drunk on All Your Strange New Words,Eddie Robson,Length: 9 hrs and 45 mins
Game,Grant Hill,Length: 11 hrs and 43 mins
The Measure,Nikki Erlick,Length: 10 hrs and 57 mins
The Unnatural Inquirer,Simon R. Green,Length: 5 hrs and 24 mins
Clockwork Destiny,Kevin J. Anderson,Length: 9 hrs and 57 mins
Lost in Time,A.G. Riddle,Length: 15 hrs and 45 mins
Deep Water,Emma Bamford,Length: 10 hrs
The House on Blueberry Lane,Brenda Jackson,Length: 9 hrs and 45 mins
The Elusive Flame,Kathleen E. Woodiwiss,Length: 17 hrs
Guerre,Louis-Ferdinand Céline,Length: 4 hrs and 30 mins
The Zero Night,Brian Freeman,Length: 10 hrs and 30 mins
Growing Up Getty,James Reginato,Length: 9 hrs and 30 mins
Walk the Vanished Earth,Erin Swan,Length: 12 hrs and 9 mins
A Thousand Miles,Bridget Morrissey,Length: 8 hrs and 30 mins
The Origin of Storms,Elizabeth Bear,Length: 19 hrs and 4 mins
When We Were Bright and Beautiful,Jillian Medoff,Length: 10 hrs and 45 mins
All the Wright Moves,K.A. Linde,Length: 5 hrs and 55 mins
Brace for Impact,Gabe Montesanti,Length: 12 hrs and 3 mins
All the Living and the Dead,Hayley Campbell,Length: 10 hrs and 30 mins
My Imaginary Mary,Cynthia Hand,Length: 11 hrs and 30 mins
One of the Girls,Lucy Clarke,Length: 11 hrs
The Teacher of Warsaw,Mario Escobar,Length: 8 hrs and 25 mins
Bound to Darkness,J. L. Beck,Length: 10 hrs
The Favor,Nora Murphy,Length: 11 hrs and 15 mins
Joan: A Novel of Joan of Arc,Katherine J. Chen,Length: 11 hrs
Giovanni's Ring,Giovanni Rocco,Length: 7 hrs and 4 mins
And There He Kept Her,Joshua Moehling,Length: 8 hrs and 53 mins
Stealing Inifinity,Alyson Noel,Length: 7 hrs
How to Stand Up to a Dictator,Maria Ressa,Length: 12 hrs
Fire in Her Dreams,Ruby Dixon,Length: 9 hrs and 26 mins
Miss Peregrine's Museum of Wonders,Ransom Riggs,Length: 8 hrs and 30 mins
The Midwife of Auschwitz,Anna Stuart,Length: 11 hrs and 42 mins
The Midnight Club,Christopher Pike,Length: 6 hrs
Bad Vibes Only,Nora McInerny,Length: 6 hrs
The Night Whispers,Caroline Mitchell,Length: Not Yet Known
A Little Bit Country,Brian D. Kennedy,Length: 9 hrs
Gleam,Raven Kennedy,Length: Not Yet Known
The Seven Ways of Ayurveda,Sarah Kucera,Length: 6 hrs and 24 mins
Stronghold,Ana Ashley,Length: 4 hrs and 57 mins
The Education of Kendrick Perkins,Kendrick Perkins,Length: 9 hrs and 45 mins
A Rose in Winter,Kathleen E. Woodiwiss,Length: 21 hrs
Quarter to Midnight,Karen Rose,Length: 20 hrs
Conversations from a Long Marriage: Series 3,Jan Etherington,Length: 2 hrs and 46 mins
The Villa,Rachel Hawkins,Length: 10 hrs and 30 mins
It Could Be Anyone,Jaime Lynn Hendricks,Length: 9 hrs and 5 mins
Men at Arms,Terry Pratchett,Length: Not Yet Known
Preacher's Carnage (Dramatized Adaptation),J.A. Johnstone,Length: 5 hrs and 54 mins
Half-Blown Rose,Leesa Cross-Smith,Length: 12 hrs and 21 mins
Reunion,Z.D. Dean,Length: 10 hrs and 30 mins
The Murder of Roger Ackroyd,Agatha Christie,Length: 7 hrs and 30 mins
Blank Canvas,Marcy Gregg,Length: 7 hrs and 2 mins
Every Family Has a Story,Julia Samuel,Length: Not Yet Known
Dark Harvest,Will Jordan,Length: 11 hrs and 30 mins
The Broken Hill High Series,Sheridan Anne,Length: 15 hrs and 5 mins
On Rotation,Shirlene Obuobi,Length: 11 hrs and 28 mins
A Caribbean Heiress in Paris,Adriana Herrera,Length: 10 hrs and 31 mins
A Duke for Diana,Sabrina Jeffries,Length: 9 hrs and 30 mins
"What's New, Pussycat?",Dakota Cassidy,Length: 7 hrs and 16 mins
The Lifestyle,Taylor Hahn,Length: 9 hrs
Dragon King,Charlene Hartnady,Length: 7 hrs and 37 mins
Hot for the Fireman,Gina L. Maxwell,Length: 9 hrs and 9 mins
His Eye Is on the Sparrow,Ethel Waters,Length: 10 hrs
The Perfect Assassin,James Patterson,Length: 9 hrs
The Grind Culture Detox,Heather Archer,Length: 5 hrs and 42 mins
"The NKJV, MacArthur Daily Bible Audio, 2nd Edition",John F. MacArthur,Length: 6 hrs and 41 mins
A Season Beyond a Kiss,Kathleen E. Woodiwiss,Length: 16 hrs and 30 mins
Starry Messenger,Neil deGrasse Tyson,Length: 6 hrs and 30 mins
The Biggest Ideas in the Universe,Sean Carroll,Length: 6 hrs
Amari and the Great Game,B. B. Alston,Length: 12 hrs
Who Is Wellness For?,Fariha Roisin,Length: 9 hrs
Million Dollar Launch,Alan Weiss,Length: 6 hrs and 43 mins
A Dance of Smoke and Steel,Milla Vane,Length: 15 hrs
Into the Great Emptiness,David Roberts,Length: 10 hrs
Stay in the Game,Joel Osteen,Length: 4 hrs
Leadership,Henry Kissinger,Length: 16 hrs
In Search of the Dark Ages,Michael Wood,Length: 9 hrs and 37 mins
The Reluctant Countess,Eloisa James,Length: 8 hrs
The Last Chairlift,John Irving,Length: 20 hrs
"Friends, Lovers and the Big Terrible Thing",Matthew Perry,Length: 10 hrs
Redemption,Ryan W. Aslesen,Length: 10 hrs and 21 mins
Treasure Hunters: The Ultimate Quest,James Patterson,Length: 5 hrs and 4 mins
Elijah's Want,Victoria Blue,Length: 6 hrs and 28 mins
The Ninth Month,James Patterson,Length: 9 hrs
The Passenger,Cormac McCarthy,Length: 14 hrs
The Killing God,Stephen R. Donaldson,Length: 24 hrs
The Hedge Wizard: A LitRPG / Progression Fantasy Adventure,Alex Maher,Length: 13 hrs and 51 mins
Empty Smiles,Katherine Arden,Length: 7 hrs
Parenting Hell,Rob Beckett,Length: Not Yet Known
Black Utopias,Jayna Brown,Length: 7 hrs and 53 mins
The Lost House of Ireland,Susanne O'Leary,Length: Less than 1 minute
Warp Speed,Paul Mango,Length: 8 hrs
Hawk Mountain,Conner Habib,Length: 10 hrs and 30 mins
Menewood,Nicola Griffith,Length: 24 hrs
Poguemahone,Patrick McCabe,Length: Not Yet Known
If You Want Something Done,Nikki R. Haley,Length: 8 hrs and 30 mins
The First Binding,R.R. Virdi,Length: 40 hrs
Can't Look Away,Carola Lovering,Length: 12 hrs
Financial Feminist,Tori Dunlap,Length: 12 hrs
Into the Mist,P.C. Cast,Length: 9 hrs and 47 mins
"Inescapable, Tempting, Alluring",Layla Hagen,Length: 23 hrs and 10 mins
In Step with God,Charles F. Stanley,Length: 8 hrs and 33 mins
The Path to Peace,Ann Swindell,Length: 6 hrs and 7 mins
Greatest Hits Mysteries Holiday Bundle,Leslie Langtry,Length: 3 hrs and 29 mins
It All Comes Down to This,Therese Anne Fowler,Length: 11 hrs and 37 mins
D'Vaughn and Kris Plan a Wedding,Chencia C. Higgins,Length: 9 hrs and 20 mins
Death by Beach Read,Eva Gates,Length: 8 hrs and 48 mins
A Burst of Light,Audre Lorde,Length: Not Yet Known
The Sisters Café,Carolyn Brown,Length: 11 hrs
The Barchester Chronicles,Anthony Trollope,Length: 17 hrs and 3 mins
Deer Season,Erin Flanagan,Length: 9 hrs and 55 mins
The One and Only Sparkella Makes a Plan,Channing Tatum,Length: 8 mins
Wild Is the Witch,Rachel Griffin,Length: 8 hrs and 30 mins
Just Once,Karen Kingsbury,Length: 9 hrs and 30 mins
Hattie Harmony: Worry Detective,Elizabeth Olsen,Length: 10 mins
The Martyr,Anthony Ryan,Length: Not Yet Known
The 60-Something Crisis,Barbara L. Pagano,Length: 8 hrs
Hunting the Mirror Man,Brian Shea,Length: 6 hrs and 59 mins
"Magic, Inc.",Martha Carr,Length: 9 hrs and 4 mins
The Soulmate,Sally Hepworth,Length: 11 hrs and 30 mins
Always Faithful,Thomas Schueman,Length: 11 hrs and 45 mins
To Catch a Raven,Beverly Jenkins,Length: 8 hrs
The Hangman and His Wife,Nancy Dougherty,Length: 26 hrs and 12 mins
Gilt,Jamie Brenner,Length: 10 hrs and 37 mins
Glow,Raven Kennedy,Length: Not Yet Known
Serpent's Point,Kate Ellis,Length: 9 hrs and 44 mins
Bad Girl Reputation,Elle Kennedy,Length: 8 hrs and 30 mins
Unwanted No More,B. J. Garrett,Length: 4 hrs and 24 mins
Doctors and Distillers,Camper English,Length: 11 hrs and 30 mins
The Golden Key: The Complete Original Edition,Emmet Fox,Length: 4 hrs
Priest of Crowns,Peter McLean,Length: 10 hrs
Blake Shelton,Carol Cash Large,Length: 7 hrs and 50 mins
The Temple of Skulls,Andy McDermott,Length: 10 hrs
Heartbreaker,Sarah MacLean,Length: 9 hrs and 30 mins
Run Time,Catherine Ryan Howard,Length: 10 hrs and 30 mins
The Song of the Cell,Siddhartha Mukherjee,Length: 15 hrs
The Persuaders,Anand Giridharadas,Length: 9 hrs and 30 mins
Split Decision,Ice-T,Length: 8 hrs
Before I Do,Sophie Cousens,Length: 10 hrs
The Comedians in Cars Getting Coffee Book,Jerry Seinfeld,Length: 10 hrs
Kiss Her Once for Me,Alison Cochrun,Length: 11 hrs
Defenders of the West,Raymond Ibrahim,Length: 13 hrs
Councilor,L. E. Modesitt Jr.,Length: 17 hrs
The Power of Unwavering Focus,Dandapani,Length: 8 hrs
Foul Lady Fortune,Chloe Gong,Length: 16 hrs
Beautiful Monster,J. L. Beck,Length: 11 hrs
The Rape of the Nile,Brian Fagan,Length: 10 hrs and 30 mins
Naomi: Audio Bible Studies,Jada Edwards,Length: 1 hr and 20 mins
Omega Rules,Eric Van Lustbader,Length: 16 hrs and 18 mins
Murder on the Mauretania,Edward Marston,Length: 9 hrs and 51 mins
Such a Beautiful Family,T.R. Ragan,Length: 10 hrs
W.E.B. Griffin The Devil's Weapons,Peter Kirsanow,Length: 14 hrs
Keeper of Enchanted Rooms,Charlie N. Holmberg,Length: 10 hrs
Thrust,Lidia Yuknavitch,Length: 10 hrs and 30 mins
Vino,Joe Campanale,Length: 9 hrs
The Grow System,Marjory Wildcraft,Length: 9 hrs
Waxing On,Ralph Macchio,Length: 9 hrs
The Colony,Audrey Magee,Length: 10 hrs and 40 mins
Blood Like Fate,Liselle Sambury,Length: 15 hrs and 30 mins
Surrendering to Hunt,Jennifer Ryan,Length: 10 hrs
The Ones We Burn,Rebecca Mix,Length: 13 hrs and 30 mins
"Sedona, Psychic Energy Vortexes",Dick Sutphen,Length: 6 hrs and 38 mins
The Couple at Number 9,Claire Douglas,Length: 12 hrs and 43 mins
Anxiously Attached,Jessica Baum,Length: 9 hrs and 30 mins
When in Rome,Sarah Adams,Length: 9 hrs
"Romans: An Expositional Commentary, Vol. 3",James Montgomery Boice,Length: 17 hrs
Found Object,Anne Frasier,Length: 10 hrs
RIP,Rachel Van Dyken,Length: 9 hrs and 6 mins
Three-Edged Sword,Jeff Lindsay,Length: 12 hrs
Sacred Pampering Principles,Debrena Jackson Gandy,Length: 12 hrs
Choosing to Prosper,Bola Sokunbi,Length: Not Yet Known
Secrets,Fern Michaels,Length: 12 hrs and 15 mins
Bonhoeffer Abridged,Eric Metaxas,Length: 6 hrs and 22 mins
It Shouldn't Be This Way,Dr Janina Scarlet,Length: Not Yet Known
Nanea: Hula for the Home Front,Kirby Larson,Length: 2 hrs and 53 mins
Panther Gap,James McLaughlin,Length: 11 hrs and 51 mins
Breadsong,Kitty Tait,Length: 4 hrs and 14 mins
The Final Equinox,Andrew Mayne,Length: 10 hrs
Daughter of Redwinter,Ed McDonald,Length: 9 hrs and 15 mins
"Long, Tall Texans: Grant",Diana Palmer,Length: 2 hrs and 30 mins
La rueda de la vida [The Wheel of Life],Elisabeth Kübler-Ross,Length: 11 hrs and 25 mins
20 Myths About Religion and Politics in America,Ryan P. Burge,Length: 5 hrs and 46 mins
Worth Any Price,Lisa Kleypas,Length: 12 hrs
Virtual Society,Herman Narula,Length: 9 hrs
"Don't Be Good, Be Great",Michael Lewis,Length: 4 hrs and 58 mins
Worldly Saints,Leland Ryken,Length: 10 hrs and 23 mins
The Six Phase Meditation Method,Vishen Lakhiani,Length: 9 hrs
Entangled,Sylvia Mercedes,Length: 10 hrs and 45 mins
Black Looks (2nd Edition),Bell Hooks,Length: 7 hrs
Perfect Villain,J. L. Beck,Length: 9 hrs
Wicked Dreams,Lisa Jackson,Length: 11 hrs
The Terraformers,Annalee Newitz,Length: 9 hrs and 45 mins
Reaper Man,Terry Pratchett,Length: Not Yet Known
The South,Adolph L. Reed Jr.,Length: 4 hrs and 59 mins
The Case for Cancel Culture,Ernest Owens,Length: 8 hrs and 30 mins
Helltown,Casey Sherman,Length: 11 hrs and 45 mins
Surrender,Bono,Length: Not Yet Known
The Chinese Parrot,Earl Derr Biggers,Length: 9 hrs and 38 mins
The House,Christopher Lee,Length: 20 hrs
How to Profit in the Stock Market,Michael Sincere,Length: 9 hrs and 39 mins
Soul in the Game,Vitaliy Katsenelson,Length: 10 hrs and 8 mins
Minecraft: Castle Redstone,Chadda Sarwat,Length: 10 hrs
Flip the Script,Lyla Lee,Length: 8 hrs and 8 mins
The Light We Give,Simran Jeet Singh,Length: 8 hrs
A Mirror Mended,Alix E. Harrow,Length: 3 hrs and 48 mins
Reputation,Sarah Vaughan,Length: 11 hrs
Peril at the Exposition,Nev March,Length: 13 hrs
Some Desperate Glory,Emily Tesh,Length: 14 hrs and 30 mins
"Pirate Enlightenment, or the Real Libertalia",David Graeber,Length: 5 hrs and 15 mins
The Bride Goes Rogue,Joanna Shupe,Length: 10 hrs and 34 mins
The Witchery,S. Isabelle,Length: 11 hrs and 59 mins
"A Secret, Book, and Scone Society Bundle, Books 1-3",Ellery Adams,Length: 26 hrs and 23 mins
Frontal Fatigue,Mark D. Rego MD,Length: 5 hrs and 58 mins
Black Girls Must Have It All,Jayne Allen,Length: 12 hrs
It. Goes. So. Fast.,Mary Louise Kelly,Length: 8 hrs
Bitten,Kelley Armstrong,Length: 13 hrs
The Hip-Hop MBA,Nels Abbey,Length: 10 hrs and 15 mins
