Titulo,Pais,Duracion,Año,Director
300 (2007),"United States, Canada, Bulgaria, Australia",1hora 57minutos,2007,"Clay Staub,Kimi Webber,Martin Walters,Zack Snyder"
300: El Origen de un Imperio (2014),United States,1hora 42minutos,2014,"Eric Jewett,Kristina Sakizli,Mariana Popova,Noam Murro,Philip A. Patterson,Shelly Stoyanova,Toby Pease,Trisha Burton"
12 Horas para sobrevivir: La noche de la expiación (2013),"United States, France",1hora 25minutos,2013,"Babette Stith,Gerard DiNardi,James DeMonaco"
12 horas para sobrevivir 2: Anarquía (2014),"United States, France",1hora 43minutos,2014,"Christophe Le Chanu,Dennis Burrell,Deon Boyce,James DeMonaco,Jan McWilliams,Jason Inman,Lynne Martin,Mike Gunther,Vincent Lascoumes"
12 horas para sobrevivir 3: El año de la elección (2016),"United States, France",1hora 49minutos,2016,"Aaron J. Stone,James DeMonaco,Jayson Merrill,Jenna Dayton,Johnny L. Recher,Stephen E. Hagen"
12 horas para sobrevivir 4: El inicio (2018),"United States, France",1hora 37minutos,2018,"Gerard McMurray,Jenna Dayton"
Los Croods (2013),United States,1hora 38minutos,2013,"Chris Sanders,Jabari Phillips,Kirk DeMicco,Robert Briggs"
Los Croods 2: una nueva era (2020),United States,1hora 35minutos,2020,"Joel Crawford,"
La Llegada (2016),"United States, Canada",1hora 56minutos,2016,
La última carta de amor (2021),"United Kingdom, France",1hora 50minutos,2021,"Aaron Hartley,Augustine Frizzell,Ben Howard"
Un día para sobrevivir (2011),United States,1hora 57minutos,2011,"Ben Hernandez Bray,Dan Mansfield,James Bitonti,Joe Carnahan,Susan Lambie"
Hellboy (2004),United States,2horas 1minuto,2004,"Andy Howard,Guillermo del Toro,J. Michael Haynie,Lori Wyant,Mark Taylor,Richard Goodwin"
Hellboy II: El ejército dorado (2008),"United States, Germany, Hungary",2horas,2008,"Cliff Lanning,Guillermo del Toro"
Hellboy (2019),"United States, United Kingdom, Bulgaria, Canada, Portugal, France",2horas,2019,"Antony Tanev,Diyan Hristov,Neil Marshall,Neil Wallace"
Venom: Carnage Liberado (2021),"United States, United Kingdom, Canada",1hora 37minutos,2021,"Andy Serkis,Brian Smrz,K.C. Hodenfield,Max Sturgeon"
Diamante de sangre (2006),"United States, Germany, United Kingdom",2horas 24minutos,2006,"Brandon Lambdin,Eddie Thorne,Edward Zwick,Gary Capo,Jayne-Ann Tenggren,Mathew Dunne,Nilo Otero,Vinca Cox"
¡Qué bello es vivir! (1946),United States,2horas 10minutos,1946,"Arthur S. Black Jr.,Frank Capra"
El silencio de los inocentes (1991),United States,1hora 55minutos,1991,"Gina Maria Leonetti,Jonathan Demme,Kyle McCarthy,Mary A. Kelly,Ronald M. Bozman"
After: Almas Perdidas (2021),"United States, Bulgaria",2horas,2021,Castille Landon
Harry Potter y la orden del Fénix (2007),"United Kingdom, United States",2horas 18minutos,2007,David Yates
El viaje (2021),Norway,1hora 53minutos,2021,"Annett Ødegaard,Laura Ugolini,Matthew Cooper,Tommy Wirkola"
DC Showcase Superman/¡Shazam!: El regreso de Black Adam (2010),United States,25minutos,2010,"Joaquim Dos Santos,"
Earwig y la bruja (2021),Japan,1hora 22minutos,2021,"Goro Miyazaki,"
Papá en Noel (2021),United Kingdom,1hora 45minutos,2021,"Mick Davis,Philippe Martinez"
Pasajero inesperado (2021),"Germany, United States, United Kingdom",1hora 57minutos,2021,Joe Penna
Contra el fuego (No Escapes) (2020),Russia,2horas,2020,"Alexey Nuzhnyy,"
Harry Potter y el cáliz de fuego (2005),"United Kingdom, United States",2horas 37minutos,2005,"Chris Carreras,Janette Boyle,Libbie Barr,Mike Newell,Nick Shuttleworth,Peter MacDonald,Tom Brewster"
Sobrevivir al juego (2021),United States,1hora 37minutos,2021,"James Cullen Bressack,"
"Finales, principios (2020)","United States, South Korea",1hora 50minutos,2020,"Drake Doremus,"
Cada respiro que das (2021),United States,1hora 45minutos,2021,"Vaughn Stein,"
Harry Potter y el prisionero de Azkaban (2004),"United Kingdom, United States",2horas 22minutos,2004,"Alfonso Cuarón,Annie Penn,Chris Carreras,Fiona Richards,Iain Atkinson,Janette Boyle,Peter MacDonald,Randy Jonsson"
Detonados (2020),South Africa,1hora 34minutos,2020,"Alastair Orr,"
Harry Potter y la piedra filosofal (2001),"United Kingdom, United States",2horas 32minutos,2001,"Annie Penn,Charlotte Mason-Apps,Chris Carreras,Chris Columbus,,David R. Ellis,Ian Dray,Michael Michael,Michael Stevenson,R.J. Mino"
Harry Potter y la cámara secreta (2002),"United Kingdom, United States",2horas 41minutos,2002,"Annie Penn,Chris Carreras,Chris Columbus,,David Hanks,Fiona Richards,Peter MacDonald,Rob Burgess,William Dodds"
Mi Pobre y Dulce Angelito (2021),United States,1hora 33minutos,2021,"Dan Mazer,Pierre Henry"
Los Descendientes (2015),United States,1hora 52minutos,2015,"Kenny Ortega,"
Soul (2020),United States,1hora 41minutos,2020,"Jessica Heidt,Kemp Powers,Paige Johnstone,Pete Docter"
Resident Evil: Venganza (2017),Japan,1hora 37minutos,2017,"Takanori Tsujimoto,"
Resident Evil: Infierno (2012),Japan,1hora 40minutos,2012,Makoto Kamiya
Amina La Reina de Guerra (2021),Nigeria,2horas,2021,"Austine Adubazi,Chuks Okoro,Dagogo Diminas,Ishaq Sidi Ishaq,Izu Ojukwu,Memunat Mukhtar"
Resident Evil: Degeneración (2008),Japan,1hora 37minutos,2008,"Father,Gaku Nagao,Hiroyuki Yoshida,Kentaro Fujisawa,Makoto Kamiya,Nobuhito Sue"
Alerta roja (2021),United States,1hora 56minutos,2021,"James Bitonti,Rawson Marshall Thurber"
Ainbo: La Guerrera Del Amazonas (2021),"Peru, Netherlands",1hora 30minutos,2021,"Richard Claus,"
Reminiscencia (2021),United States,1hora 56minutos,2021,"Lisa Joy,"
El Lórax: En busca de la trúfula perdida (2012),"United States, France, Japan",1hora 26minutos,2012,"Chris Renaud,Kyle Balda"
007: Sin tiempo para morir (2021),"United Kingdom, United States",2horas 43minutos,2021,"Cary Joji Fukunaga,"
Flashback (2021),Canada,1hora 37minutos,2021,"Christopher MacBride,"
El ejército de los ladrones (2021),"Germany, United States",2horas 7minutos,2021,"Jakub Dvorak,Jan Cajzl,Marketa Magerova,Matthew Rugetti,Matthias Schweighöfer,Ralph Kaechele,Shakir Hafoudh,Silke Engelhardt"
"Karate Kid, el momento de la verdad (1984)",United States,2horas 6minutos,1984,"Alvin Greenman,John G. Avildsen"
El Pastel de Cumpleaños (2021),United States,1hora 33minutos,2021,"Ann M. Doria,Cassius Corrigan,Hans Augustave,Jimmy Giannopoulos,Michael Kefeyalew,Nick Page"
Más Dura Será La Caída (2021),United States,2horas 19minutos,2021,"G. A. Aguilar,Jeymes Samuel,Kate Hennessy,Ricky R. Weaver"
Valerian y la ciudad de los mil planetas (2017),"France, China, Belgium, Germany, United Arab Emirates, United States, Canada, New Zealand, Singapore, United Kingdom, Thailand",2horas 16minutos,2017,"Abigail L.S. Yardley,Charles Jodoin-Keaton,Elise Cresson,Emmanuelle Fourault,Grégoire Jeudy,Jawahine Zentar,Louise Molière,Luc Besson,Marie Gennesseaux,Stéphane Gluck"
El pianista (2002),"United Kingdom, France, Poland, Germany",2horas 28minutos,2002,"Anna Zenowicz,Caroline Veyssière,Roman Polanski,Sylvette Baudrot,Weronika Migoń,Zbigniew Gruz"
El Regreso de los Muertos Vivientes 3 (1993),"United States, Japan",1hora 37minutos,1993,"Brian Yuzna,"
El Regreso de los Muertos Vivientes 2 (1988),United States,1hora 29minutos,1988,"Ken Wiederhorn,"
Finch (2021),"United Kingdom, United States",1hora 55minutos,2021,"Miguel Sapochnik,"
El Regreso de los Muertos Vivientes (1985),United States,1hora 31minutos,1985,"Christena Alcorn,Dan O'Bannon,David M. Robertson,Josh King,Scott Javine"
Tom y Jerry: Willy Wonka y la fábrica de chocolates (2017),United States,1hora 19minutos,2017,"Spike Brandt,"
Tiempos violentos (1994),United States,2horas 34minutos,1994,"Francis R. Mahony III,John W. Hyde Jr.,Kelly Kiernan,Martin Kitrosser,Quentin Tarantino"
No le digas a nadie (2021),United States,1hora 23minutos,2021,"Alex McAulay,Jake Heineke"
Ellas mandan (2019),United States,1hora 42minutos,2019,"Nisha Ganatra,"
Convoy 48 La Última Resistencia (2019),Russia,2horas 5minutos,2019,"Fedor Popov,"
La pasión de Cristo (2004),United States,2horas 6minutos,2004,"Barbara Pastrovich,Eleonora Baldwin,Emanuela Minoli,John M. Nelson,Mel Gibson,Mimosa Nistri Ranalletti,Rachel Griffiths,Sergio Ercolessi,Ted Rae"
El Álamo – La leyenda (2004),United States,2horas 17minutos,2004,"Chris Castaldi,Gina Grande,Jeff Okabayashi,John Lee Hancock,K.C. Hodenfield,Phil Neilson"
Casino (1995),"United States, France",2horas 53minutos,1995,"Darin Rivetti,Karen Golden,Martin Scorsese,Michael Greenwood,Phil Marco,Scott Harris"
El Álamo (1960),United States,2horas 47minutos,1960,"John Wayne,"
Espejos Siniestros (2008),"United States, Romania, Germany, France",1hora 52minutos,2008,Alexandre Aja
Espejos siniestros 2 (2010),United States,1hora 26minutos,2010,"Víctor García,"
Anastasia (1997),United States,1hora 34minutos,1997,
Los Simpson: La película (2007),United States,1hora 26minutos,2007,
La Máquina del Tiempo (2002),"United States, United Arab Emirates",1hora 36minutos,2002,"Sharon 'Mae' West,Simon Wells,Trudy Ramirez"
Propuesta de Año Bisiesto (2010),"United States, Ireland",1hora 40minutos,2010,"Anand Tucker,"
El Tirador (2007),United States,2horas 4minutos,2007,"Antoine Fuqua,"
Y mañana el mundo entero (2020),"Germany, France",1hora 51minutos,2020,"Julia von Heinz,"
The Owners (Los propietarios) (2020),"United Kingdom, France, United States",1hora 32minutos,2020,"Bhairavi Patel,Julius Berg,Luke Goodrich,Pedro Rilhó"
Paratemporal (2020),United States,1hora 41minutos,2020,"Aaron Moorhead,Jessica Dean Rose,Justin Benson,Ryan Orenstein,Sandy Parker"
El rey escorpión (2002),"United States, Germany, Belgium",1hora 32minutos,2002,"Billy Burton,Chuck Russell,Danny Green,Josh McLaglen,Rick Kelly,Steve Lonano,Tricia Ronten,Trisha Burton"
El Rey Escorpión 2: El nacimiento del guerrero (2008),"United States, South Africa, Germany",1hora 49minutos,2008,"Russell Mulcahy,"
El Rey Escorpión 3: Batalla por la redención (2012),United States,1hora 46minutos,2012,"Joanne McLennan,Roel Reiné"
El Rey Escorpión 4: La búsqueda del poder (2015),United States,1hora 45minutos,2015,"Alina Apostu,Cornelia Stefan,Mike Elliott"
El Rey Escorpión: El Libro de las Almas (2018),United States,1hora 42minutos,2018,"Don Michael Paul,"
Megamente (2010),United States,1hora 36minutos,2010,"Erik Pope,Liska Ostojic,Tom McGrath,"
La Leyenda de la Llorona (2011),Mexico,1hora 49minutos,2011,"Alberto Rodríguez,"
Un gran dinosaurio (2015),United States,1hora 40minutos,2015,"Arjun Rihan,Colin Bohrer,Crosby Clyse,Peter Sohn"
"¡Agáchate, maldito! (1971)","Italy, Spain",2horas 37minutos,1971,"Alberto De Martino,Giancarlo Santi,Serena Canevari,Sergio Leone,Tony Brandt"
Érase una vez en América (1984),"Italy, United States",3horas 49minutos,1984,"Amy Wells,Dennis T. Benatar,Fabrizio Sergenti Castellani,Luca Morsella,Philippe Landoulsi,Sergio Leone"
Érase una vez en el Oeste (1968),"Italy, United States",2horas 46minutos,1968,"Giancarlo Santi,Sergio Leone"
La Máscara del Zorro (1998),"United States, Mexico, Germany",2horas 16minutos,1998,"Chitra F. Mojtabai,Martin Campbell"
La Leyenda del Zorro (2005),"United States, Mexico",2horas 9minutos,2005,Martin Campbell
Camino hacia el terror (2003),"Canada, Germany, United States",1hora 24minutos,2003,"Barbara McCullam,Catherine Gourdier,Clay Borris,Rob Schmidt,Robert Crippen,Thana Spillios"
Camino Hacia el Terror 2: Final mortal (2007),"United States, Germany, Canada",1hora 36minutos,2007,"Jen Oberem,Joe Lynch"
Camino hacia el terror 3: abandonado para morir (2009),"United States, Germany, Bulgaria",1hora 32minutos,2009,"Declan O'Brien,Mariana Popova"
Camino Hacia el Terror 4 (2011),"United States, Germany, Canada",1hora 33minutos,2011,"Declan O'Brien,Sandi Cameron"
Camino Hacia El Terror 5 (2012),"United States, Bulgaria",1hora 31minutos,2012,"Antony Tanev,Declan O'Brien,Stefania Velichkova"
Camino Hacia el Terror 6: La Herencia (2014),"United States, Bulgaria",1hora 30minutos,2014,"Ivan Mitov,Jonas Talkington,Valeri Milev"
La Momia (1999),"United States, United Kingdom, Morocco",2horas 5minutos,1999,"Cliff Lanning,Gary Talbot,Greg Michael,Jamie Christopher,Stephen Sommers,Sylvie Chesneau"
La Momia 2: El Regreso de la Momia (2001),United States,2horas 5minutos,2001,"Adil Abdelwahab,Cliff Lanning,Dan John,Greg Michael,Stephen Sommers,Sylvie Chesneau,William Dodds"
La Momia 3: La Tumba del Emperador Dragón (2008),"United States, Germany, China, Canada",1hora 54minutos,2008,"Lorette Leblanc,Rob Cohen"
La momia (2017),United States,1hora 45minutos,2017,"Alex Kurtzman,Jo Beckett"
August Rush: Escucha tu destino (2007),"United States, South Korea",1hora 40minutos,2007,"Jessica Lichtner,Kirsten Sheridan"
Los Ilegales (2012),United States,1hora 55minutos,2012,"John Hillcoat,"
En lucha (2020),United States,1hora 57minutos,2020,"Nick Sarkisov,"
Fauces de la noche (2021),"United Kingdom, United States",1hora 47minutos,2021,Adam Randall
Rencor (2021),Turkey,1hora 44minutos,2021,"Türkan Derya,"
La batalla olvidada (The Forgotten Battle) (2021),"Netherlands, Lithuania, Belgium",2horas 4minutos,2021,"Alain de Levita,Bob Vanwayenbergh,Eva Visser,Evert van Setten,Gerrit Martijn,Jesse Wismeijer,Marieke Weitkamp,Matthijs van Heijningen Jr.,Noa Bolssens,Terence Schreurs,Tom Edmondson"
Operación Final (2018),United States,2horas 4minutos,2018,"Chris Weitz,Claudia Morgado,Ricardo Méndez Matta"
Muerte instantánea (2019),"United States, Norway, Canada",1hora 28minutos,2019,"Lars Klevberg,"
La cabaña siniestra (2020),"United Kingdom, United States, Canada",1hora 48minutos,2020,"Claire Baumann,Dominique Gaglione D'Amico,Elizabeth Tremblay,Frank Ruszczynski,Patrick Arias,Paul Aton,Severin Fiala,Veronika Franz,Yari Azzopardi"
Gunpowder Milkshake (2021),"France, Germany, United States",1hora 54minutos,2021,"Ali Cherkaoui,Dennis Becker,Finn Pelke,Navot Papushado,Silke Engelhardt,Simon Adegbenro"
El Escuadrón Suicida (2021),"United States, Canada, United Kingdom",2horas 12minutos,2021,"James Gunn,"
El Contador de Cartas (2021),"United Kingdom, China, United States",1hora 51minutos,2021,"Paul Schrader,"
Warning (2021),"Canada, United States",1hora 25minutos,2021,"Agata Alexander,"
Nadie (2021),"United States, Japan",1hora 32minutos,2021,"Ilya Naishuller,"
Dune (2021),"United States, Canada",2horas 21minutos,2021,"Chris Carreras,Denis Villeneuve,Marlon Beyer Rieger,Tom Rye,Tom Struthers"
Halloween (1978),United States,1hora 31minutos,1978,"John Carpenter,Louise Jaffe"
Halloween II (1981),United States,1hora 32minutos,1981,"Candy Artmont,Duncan Henderson,Rick Rosenthal,William S. Beasley"
Halloween III: El imperio de las brujas (1982),United States,1hora 38minutos,1982,"Tommy Lee Wallace,"
Halloween 4: El regreso de Michael Myers (1988),United States,1hora 28minutos,1988,"Denis L. Stewart,Dwight H. Little,Jerry Fleck"
Halloween 5: La venganza de Michael Myers (1989),United States,1hora 36minutos,1989,"Dominique Othenin-Girard,"
Halloween 6: La maldición de Michael Myers (1995),United States,1hora 28minutos,1995,"Joe Chappelle,"
Halloween H2O: Veinte años después (1998),United States,1hora 26minutos,1998,"Mable Lawson-McCrary,Mark Cotone,Stephanie P. O'Brien,Steve Miner"
Halloween: Resurrección (2002),United States,1hora 34minutos,2002,Rick Rosenthal
Halloween: El inicio (2007),United States,1hora 49minutos,2007,"Alexander H. Gayner,Diane Durant,Emily McGovern,Rob Zombie"
Halloween II (2009),United States,1hora 45minutos,2009,"Alexander H. Gayner,Anna Rane,Emily McGovern,Rob Zombie,Sharon Watt"
Halloween (2018),"United States, United Kingdom",1hora 49minutos,2018,David Gordon Green
La colonia (2013),"Canada, United States",1hora 35minutos,2013,"Andrew M. Robinson,Aric Dupere,Jeff Renfroe,Katharine Jane Reid"
Flashdance (1983),United States,1hora 35minutos,1983,"Adrian Lyne,Albert M. Shapiro,Joanie Blum,Marty P. Ewing"
G.I. Joe: El origen de Cobra (2009),"United States, Czechia",1hora 58minutos,2009,"Jakub Dvorak,Stephen Sommers"
G.I. Joe 2: El contraataque (2013),United States,1hora 50minutos,2013,Jon M. Chu
Snake Eyes: El origen (2021),United States,2horas 1minuto,2021,"James Madigan,Robert Schwentke"
Injustice: Dioses entre nosotros (2021),United States,1hora 18minutos,2021,"Matt Peters,"
Mortal Kombat Leyendas: La batalla de los reinos (2021),United States,1hora 29minutos,2021,"Ethan Spaulding,"
El efecto mariposa (2004),"United States, Canada",1hora 54minutos,2004,"Betty Bennett,Cindy Smith,Eric Bress,J. Mackye Gruber,Lori K. Peterson,Peter D. Marshall,Susan Lambie"
El efecto mariposa 2 (2006),United States,1hora 29minutos,2006,"Brian Giddens,Carol Pears,David R. Baron,John R. Leonetti,Troy Scott"
El efecto mariposa 3: Revelaciones (2009),United States,1hora 31minutos,2009,"David Markowitz,Melinda Taksen,Scott Lazar,Seth Grossman,Stephanie Tull"
Titanic (1997),"United States, Mexico, Australia",3horas 15minutos,1997,"James Cameron,Josh McLaglen,Shelley Crawford,Steven Quale"
Drácula vuelve de la tumba (1968),United Kingdom,1hora 29minutos,1968,"Dennis Robertson,Freddie Francis"
De la China con furor (1972),Hong Kong,1hora 48minutos,1972,"Lo Wei,"
El Gran Jefe (1971),Hong Kong,1hora 40minutos,1971,"Lo Wei,"
Halloween Kills: La noche aún no termina (2021),"United States, United Kingdom",1hora 45minutos,2021,"Atilla Salih Yücer,David Gordon Green,Justin Dybowski,Phil Yarbor,Teddy Gibbons"
El Protegido (2021),"United States, United Kingdom",1hora 49minutos,2021,Martin Campbell
Violet Evergarden: La Pelicula (2020),Japan,2horas 20minutos,2020,"Minoru Ota,Shinpei Sawa,Taichi Ishidate,Taichi Ogawa,Takuya Yamamura"
Aguja en una pila de tiempo (2021),United States,1hora 51minutos,2021,"John Ridley,"
Distancia de rescate (2021),"Peru, Chile, Spain, Argentina, United States",1hora 33minutos,2021,"Claudia Llosa,"
El Furor del Dragón (1972),Hong Kong,1hora 40minutos,1972,"Bruce Lee,"
Violet Evergarden Eternity and the Auto Memories Doll (2019),Japan,1hora 31minutos,2019,"Haruka Fujita,Minoru Ota,Naoko Yamada,Takuya Yamamura"
Bright: Alma de samurái (2021),"United States, Japan",1hora 20minutos,2021,Kyohei Ishiguro
My Hero Academia: El despertar de los héroes (2019),Japan,1hora 44minutos,2019,"Ikuro Sato,Kenji Nagasaki,Shouji Ikeno,Tomo Ookubo"
Austin Powers en Goldmember (2002),United States,1hora 35minutos,2002,"Jack Gill,Jay Roach,Jayne-Ann Tenggren,Josh King,Marcei A. Brown,Marisa Ferrey,Yvonne Pearson"
Cabo de Miedo (1991),United States,2horas 8minutos,1991,"Corey B. Yugler,Joseph P. Reidy,Martin Scorsese"
Los Cazafantasmas (1984),United States,1hora 47minutos,1984,Ivan Reitman
Los Cazafantasmas 2 (1989),United States,1hora 48minutos,1989,"Christine Larson-Nitzsche,Cyd Adams,Faye Brenner,Ira S. Rosenstein,Ivan Reitman,Michael D. Moore,Peter Giuliano"
Blood Money (2017),United States,1hora 40minutos,2017,"Craig Borden,D. J. Barton,Lucky McKee"
El Remanente (2014),United States,1hora 28minutos,2014,"Amber Harley,Casey La Scala"
Bad Boys para Siempre (2020),"United States, Mexico",2horas 4minutos,2020,
Ladrones de Elite (2021),United States,1hora 34minutos,2021,"Renny Harlin,"
WALL·E (2008),United States,1hora 43minutos,2008,"Andrew Cadelago,Andrew Stanton,Diego Garzon,Janette Nielsen,Kyle Ranson-Walsh"
Hércules (1997),"United States, France",1hora 33minutos,1997,"Chung Sup Yoon,John Musker,Rick Moore,Ron Clements"
Pelea de Chicas (2020),United States,1hora 38minutos,2020,"Alejandro Berríos,Colleen Comer,Edmundo H. Rodríguez,Paul Leyden,S. B. Weathersby"
T2 Trainspotting: La vida en el abismo (2017),United Kingdom,1hora 57minutos,2017,"Danny Boyle,Sylvia Parker"
Geo-Tormenta (2017),"United States, Hong Kong",1hora 49minutos,2017,"Dean Devlin,Sam Sullivan,Suzanne Bingham"
Dreamland (2019),United States,1hora 38minutos,2019,"Aaron Moskal,Hailey Oltman,Jacques Terblanche,Jennifer Josephson,Mark Rayner,Miles Joris-Peyrafitte"
El patriota (2000),"United States, Germany",2horas 56minutos,2000,"Chris Brighton,Greg Hale,Kim Berner,Kim H. Winther,Lars P. Winther,Paul Bernard,Peter J. Dowd Jr.,Peter Winther,,Robert C. Albertell,Roland Emmerich,Suzette Gaconnier"
Chiquito pero Peligroso (2006),"United States, Canada",1hora 38minutos,2006,"Keenen Ivory Wayans,Stephanie Rossel"
Bloodshot (2020),United States,1hora 50minutos,2020,"Andre Weavind,Ashley Aldworth,Cameron Hadlow,Dave Wilson,Elelwani Netshifhire,Isabel Martens,J. J. Perry,Nadia Brand,Steve DeCastro,Vincent Lascoumes"
Mujer Maravilla 1984 (2020),United States,2horas 35minutos,2020,"Andy Madden,Dan Bradley,Patty Jenkins,Toby Hefferman"
La Guerra del Mañana (2021),United States,2horas 18minutos,2021,"Ashley Patterson,Chris McKay,Jody Blose,Laurie Bookhardt,Matt Haggerty,Nick Satriano"
007: Licencia para matar (1989),"United Kingdom, Mexico, United States",2horas 13minutos,1989,"John Glen,"
"007: Goldeneye, el Regreso del Agente (1995)","United Kingdom, United States",2horas 10minutos,1995,"June Randall,Martin Campbell"
007: El mañana nunca muere (1997),"United Kingdom, United States",1hora 59minutos,1997,"Roger Spottiswoode,"
007: Su nombre es peligro (1987),"United Kingdom, United States",2horas 10minutos,1987,"John Glen,"
007: El mundo no basta (1999),"United Kingdom, United States",2horas 8minutos,1999,"Michael Apted,Nikki Clapp"
007: Otro día para morir (2002),"United Kingdom, United States, Spain, Iceland",2horas 13minutos,2002,"Lee Tamahori,"
007: Casino Royale (2006),"United Kingdom, Czechia, United States, Germany, Bahamas",2horas 24minutos,2006,
007: Quantum of Solace (2008),"United Kingdom, United States",1hora 47minutos,2008,"Marc Forster,Nikki Clapp,Zoe Morgan"
007: Operación Skyfall (2012),"United Kingdom, United States, Turkey",2horas 24minutos,2012,"Jayne-Ann Tenggren,Sam Mendes,Sharon Mansfield,Susie Jones,Tufan Şimşekcan"
007: Spectre (2015),United States,2horas 29minutos,2015,"Jayne-Ann Tenggren,Nicoletta Mani,Sam Mendes,Susie Jones"
El Último de los Mohicanos (1992),United States,1hora 52minutos,1992,"Alan Greedy,Carl Goldstein,Cyndie Williams Young,Daniel M. Stillman,Gusmano Cesaretti,Michael Mann,Michael Waxman,Mickey Gilbert,Susan E. Fiore"
Sueño de fuga (1994),United States,2horas 23minutos,1994,"Frank Darabont,James Ellis Deakins,Jesse V. Johnson,,John R. Woodward,Michael Greenwood,Robert Barnett,Sioux Richards,Thomas Schellenberg"
Free Guy: Tomando el control (2021),"United States, Canada",1hora 55minutos,2021,"Carolina Jiménez,Isaac Nadreau,Josh McLaglen,Shawn Levy"
Vaselina 2 (1982),United States,1hora 55minutos,1982,"Betty A. Griffin,David Arntzen,Gary Daigler,Patricia Birch,Venita Ozols-Graham"
Un Rescate de Huevitos (2021),Mexico,1hora 34minutos,2021,"Gabriel Riva Palacio Alatriste,Rodolfo Riva Palacio Alatriste"
Casper (1995),United States,1hora 41minutos,1995,"Ana Maria Quintana,Annette Haywood-Carter,Brad Silberling,Michele Panelli-Venetis,Steve E. Andrews"
Aves de presa y la fantabulosa emancipación de una Harley Quinn (2020),United States,1hora 49minutos,2020,
Escape room: Sin salida (2019),"United States, South Africa",1hora 40minutos,2019,"Adam Robitel,,Andre Weavind,Carien Smit,Grant Hulley,Ria van Heerden,Robyn Glaser"
Escape Room 2: Reto mortal (2021),"United States, South Africa",1hora 28minutos,2021,"Adam Robitel,"
Vaselina (1978),United States,1hora 50minutos,1978,"Jerry Grandey,Joyce King,Lynn M. Morgan,Paula Marcus,Randal Kleiser"
Viejos (Old) (2021),United States,1minuto,2021,"M. Night Shyamalan,"
Los locos Addams 2 (2021),"United Kingdom, Canada, United States",1hora 33minutos,2021,"Conrad Vernon,Greg Tiernan"
La Mansión (2021),United States,1hora 21minutos,2021,"Axelle Carolyn,"
Madres (2021),United States,1hora 23minutos,2021,"Ryan Zaragoza,"
Muppets Haunted Mansion: La mansión hechizada (2021),United States,52minutos,2021,"Kirk R. Thatcher,"
Un hombre lobo entre nosotros (Werewolves Within) (2021),United States,1hora 37minutos,2021,"Anne Marie Dentici,Chuck Girard,Josh Ruben,Lenny Payan"
Paw Patrol: La Película (2021),"Canada, United States",1hora 26minutos,2021,"Cal Brunker,"
Samurái X: El origen (2021),Japan,2horas 18minutos,2021,"Keishi Ōtomo,"
Mudanza mortal (2021),United States,1hora 54minutos,2021,"Peter Winther,"
El prófugo (2021),"Argentina, Mexico",1hora 35minutos,2021,"Adriana Vior,Marcello Pozzo,Natalia Meta"
Te quiero como amigo (Friendzone) (2021),France,1hora 41minutos,2021,"Charles Van Tieghem,"
En la oscuridad de la noche (Black as Night) (2021),United States,1hora 27minutos,2021,"Georgianna Whitley,Maritte Lee Go"
Hay alguien en tu casa (2021),"Canada, United States",1hora 36minutos,2021,"Patrick Brice,"
"Matando Cabos 2, La Máscara del Máscara (2021)",Mexico,1hora 50minutos,2021,"Alejandro Lozano,"
Los Santos Del La Mafia (2021),United States,2horas,2021,"Alan Taylor,Atilla Salih Yücer,Kamen Velkovsky"
Nadie sale con vida (2021),United Kingdom,1hora 25minutos,2021,"James McGeown,Liam Lock,Santiago Menghini"
Peaje Mortal (2021),Canada,1hora 20minutos,2021,"Michael Nader,"
Culpable (2021),United States,1hora 31minutos,2021,"Antoine Fuqua,,Clyde Broom Jr.,Dawn Gilliam,Frances Stafford,Jon Mallard"
Venom (2018),"China, United States",1hora 52minutos,2018,"Dea Cantu,Diane Durant,Mari Wilson,Ruben Fleischer,Spiro Razatos"
Cruella (2021),"United States, United Kingdom",2horas 14minutos,2021,"Craig Gillespie,"
The Avengers: Los Vengadores (2012),United States,2horas 23minutos,2012,"Brian Relyea,Gregory Doucette,John Mahaffie,Joss Whedon,Judi Townsend,Lars P. Winther,Nick Satriano,Trudy Ramirez"
Avengers: Era de Ultrón (2015),United States,2horas 21minutos,2015,
Avengers: Infinity War (2018),United States,2horas 29minutos,2018,"Alex McKay,Anthony Russo,Chris Castaldi,David Sardi,Eli Sasich,Hajar Mainl,Jeff Okabayashi,Joe Russo,Kenneth Malicdem,Lori Grabowski,Mark Rossini,Paul Schneider,Simon Downes"
Avengers: Endgame (2019),United States,3horas,2019,"Anthony Russo,Chris Castaldi,Edward Catley,Joe Russo,Mark Johnston,Paul Schneider,Simon Downes"
Fuga de Pretoria (2020),"United Kingdom, Australia, United States, South Africa, Germany",1hora 42minutos,2020,"Brad Lanyon,Christine O'Connell,Francis Annan,Shannon Crotty,Wayne Nassereddine"
Maligno (2021),"United States, China",1hora 51minutos,2021,"James Wan,"
Kickboxer (1989),United States,1hora 37minutos,1989,"David Worth,Jean-Claude Van Damme,Mark DiSalle"
Mulán (2020),"United States, Hong Kong",2horas,2020,"Ana Lydia Monaco,Guy Campbell,James Andrew Haven,Joe Nolan,Justin Muller,Kathleen Thomas,Liz Tan,Luke Maxcy,Niki Caro,Sarah Hinch,Scott Rogers,Teuila Field"
